科別編號 日期 時段 醫師姓名 診間 已約人數
000 0321 1 陳志強 662 3
000 0321 1 葉日鋛 837 0
000 0321 2 李燕鳴 583 0
000 0321 2 趙詩嵐 935 0
000 0322 1 邱雲柯 533 0
000 0322 1 謝至彄 709 0
000 0322 1 高聖倫 455 0
000 0322 1 劉麗雪 630 0
000 0322 2 高聖倫 229 0
000 0322 2 林皓瑩 405 0
000 0322 2 鄭怡真 580 0
000 0322 3 李燕鳴 756 0
000 0323 1 高聖倫 502 0
000 0323 1 黃亮凱 677 0
000 0323 2 林煌仁 853 0
000 0323 2 劉麗雪 129 0
000 0324 1 王英偉 775 0
000 0324 1 李燕鳴 950 0
000 0324 1 王志勇 226 0
000 0324 2 謝至彄 402 0
000 0324 2 陳志強 147 0
000 0324 3 葉日鋛 323 0
000 0325 1 葉日鋛 499 0
000 0327 1 林煌仁 674 0
000 0327 1 劉麗雪 420 0
000 0327 1 葉日鋛 596 0
000 0327 2 林皓瑩 772 0
000 0327 2 黃亮凱 195 1
001 0321 1 鄭景仁 370 45
001 0321 1 黃水坤 546 0
001 0321 1 張懷仁 292 0
001 0321 2 劉維新 467 0
001 0321 2 吳文揚 643 0
001 0322 1 陳郁志 819 0
001 0322 1 鄭景仁 565 0
001 0322 1 朱新凱 740 0
001 0322 2 王志鴻 916 0
001 0322 2 謝仁哲 192 0
001 0323 1 鄭景仁 837 0
001 0323 1 劉維新 113 0
001 0323 1 謝仁哲 289 0
001 0324 1 陳郁志 464 0
001 0324 1 張懷仁 210 0
001 0324 2 楊秋芬 239 0
001 0324 2 楊代雲 562 0
001 0325 1 楊秋芬 737 0
001 0327 1 劉維新 483 0
001 0327 1 王志鴻 512 0
001 0327 1 朱新凱 257 0
001 0327 2 蔡劭謙 433 0
001 0327 2 謝仁哲 609 0
002 0321 1 胡志棠 784 2
002 0322 1 陳健麟 530 0
002 0322 1 易志勳 706 0
002 0322 2 雷尉毅 882 0
002 0322 2 林振雄 157 0
002 0323 1 易志勳 803 0
002 0323 1 胡志棠 979 0
002 0323 1 劉作財 254 0
002 0323 2 洪睿勝 430 0
002 0324 1 陳健麟 176 0
002 0324 1 劉作財 929 0
002 0324 2 林振雄 675 0
002 0324 2 胡志棠 850 0
002 0325 1 林振雄 126 0
002 0327 1 陳健麟 302 0
002 0327 1 雷尉毅 947 0
002 0327 1 劉作財 223 0
002 0327 2 易志勳 399 0
002 0327 2 洪睿勝 574 0
003 0321 1 王立信 252 0
003 0323 1 王立信 252 0
003 0323 2 鄭順賢 252 0
004 0321 1 蔡世滋 207 0
004 0321 2 潘郁仁 511 0
004 0322 1 蔡世滋 207 0
004 0322 2 蘇桂英 208 0
006 0321 1 張恩庭 204 0
006 0321 2 楊治國 204 0
006 0322 1 林智斌 205 0
006 0322 1 張恩庭 204 0
006 0322 2 劉迪塑 204 0
007 0321 1 黃威翰 506 0
007 0322 1 朱崧肇 506 0
007 0322 1 吳懿峰 501 0
007 0322 2 王佐輔 501 0
008 0321 1 劉翠蘭 226 0
008 0321 1 劉安邦 229 0
008 0321 1 鄭文立 227 0
008 0321 2 林聖皇 226 0
008 0321 2 鄭文立 229 0
008 0322 1 劉翠蘭 226 0
008 0322 1 林聖皇 229 0
008 0322 2 劉安邦 227 0
008 0322 2 鄭文立 229 0
009 0321 1 沈裕智 192 0
009 0321 1 趙又麟 191 0
009 0321 2 沈裕智 192 0
009 0321 2 許智堯 191 0
009 0321 2 蔡佳倫 193 0
009 0321 3 陳紹祖 192 0
009 0321 3 蔡欣記 191 0
009 0322 1 陳紹祖 192 0
009 0322 1 蔡欣記 191 0
009 0322 2 陳紹祖 192 0
009 0322 2 蔡欣記 191 0
009 0322 3 許智堯 191 0
010 0321 1 徐邦治 210 0
010 0321 2 郭秋煌 210 0
010 0321 2 徐儒將 206 0
010 0322 1 王智賢 210 0
010 0322 2 賴宇軒 210 0
011 0321 1 許文林 101 0
011 0321 1 劉岱瑋 102 0
011 0321 2 許文林 101 0
011 0321 2 劉岱瑋 102 0
011 0322 1 劉岱瑋 101 0
011 0322 1 吳貞達 102 0
011 0322 2 吳貞達 102 0
012 0321 1 林彥光 206 0
012 0321 1 許瑞云 511 0
012 0321 2 許瑞云 511 0
012 0321 2 黃智超 212 0
012 0322 1 謝明蓁 211 0
012 0322 1 羅文綾 511 0
012 0322 2 林彥光 511 0
012 0322 2 潘郁仁 211 0
013 0321 1 陳信典 132 0
013 0321 1 李哲全 133 0
013 0321 2 謝明蓁 131 0
013 0322 1 陳信典 132 0
013 0322 1 吳篤安 133 0
013 0322 2 李哲全 133 0
100 0321 1 楊穎勤 320 3
100 0321 1 何靜淳 496 0
100 0321 1 陳華宗 672 0
100 0321 2 楊穎勤 847 0
100 0322 1 葉倫斌 593 0
100 0322 2 吳柏鋼 769 0
100 0322 2 何靜淳 944 0
100 0323 1 凌慶賢 220 0
100 0323 2 何靜淳 866 0
100 0323 2 葉倫斌 142 0
100 0324 1 吳柏鋼 317 0
100 0324 1 施廷翰 493 0
100 0324 1 陳華宗 239 1
100 0324 2 彭海祁 414 0
100 0324 2 吳柏鋼 590 0
100 0327 1 葉倫斌 766 0
100 0327 1 李明哲 512 0
100 0327 2 凌慶賢 687 0
100 0327 2 李明哲 863 0
101 0321 1 張睿智 139 0
101 0321 1 趙盛豐 785 0
101 0322 1 張睿智 960 0
101 0322 1 張比嵩 236 0
101 0323 1 鄭伊佐 412 0
101 0323 1 張比嵩 157 0
101 0324 1 趙盛豐 333 0
101 0327 1 鄭伊佐 509 0
102 0321 1 邱琮朗 684 0
102 0321 1 洪祥益 430 0
102 0321 1 陳冠斌 459 0
102 0321 1 陳新源 782 0
102 0321 2 林欣榮 957 0
102 0321 2 潘彥宏 703 0
102 0321 1 邱琮朗 879 0
102 0322 1 邱琮朗 154 0
102 0322 1 陳冠斌 330 0
102 0322 2 李建輝 976 0
102 0322 2 蘇泉發 252 0
102 0323 1 潘彥宏 750 0
102 0323 1 哈鐵木爾 926 0
102 0323 2 吳聖文 201 0
102 0323 2 蘇泉發 377 0
102 0324 1 洪祥益 123 0
102 0324 1 陳新源 299 0
102 0324 2 林欣榮 474 0
102 0324 2 邱琮朗 650 0
102 0327 1 潘彥宏 396 0
102 0327 1 吳聖文 572 0
102 0327 2 哈鐵木爾 747 0
102 0327 3 哈鐵木爾 923 0
103 0321 1 于載九 121 0
103 0321 1 姚定國 123 0
103 0321 1 鄺世通 122 0
103 0321 2 吳坤佶 123 0
104 0321 2 王健興 145 0
104 0322 1 吳孟熹 143 0
104 0322 2 李俊達 145 0
104 0323 2 鄭立福 143 0
105 0321 1 洪崧壬 163 0
105 0321 2 方甘棠 163 0
105 0321 2 楊仁宏 211 0
105 0321 3 方甘棠 163 0
105 0322 1 方甘棠 163 0
105 0322 1 高得恩 165 0
105 0322 2 高得恩 163 0
105 0322 3 高得恩 163 0
106 0321 2 施廷翰 146 0
106 0322 2 施廷翰 146 0
106 0323 1 陳宗明 147 0
107 0321 1 王柏凱 232 0
107 0322 1 藍慶鴻 232 0
107 0323 2 鄭偉君 232 0
108 0321 1 楊妙君 202 0
108 0321 2 楊妙君 202 0
108 0321 2 周昱甫 201 0
108 0322 1 李家鳳 201 0
108 0322 2 王瑋碩 202 0
108 0322 2 林萬哲 203 0
109 0321 1 陳景亮 161 0
109 0321 1 李政霖 106 0
109 0321 2 柯千升 161 0
109 0321 2 江元宏 162 0
109 0322 1 柯千升 161 0
109 0322 1 陳聖復 162 0
109 0322 2 郭漢崇 161 0
110 0321 1 吳孟熹 108 0
110 0322 1 李俊達 108 0
110 0324 1 王健興 108 0
110 0324 2 李俊達 108 0
111 0323 1 李明哲 141 0
111 0330 1 李明哲 141 0
111 0406 1 李明哲 141 0
111 0413 1 李明哲 141 0
112 0320 2 凌慶賢 146 0
112 0321 1 陳華宗 141 0
112 0322 2 何靜淳 141 0
112 0323 2 何靜淳 108 0
200 0321 1 丁大清 669 0
200 0321 1 陳寶珠 844 0
200 0321 2 龐彭醛 120 0
200 0321 3 高聖博 296 0
200 0321 3 王淑芳 942 0
200 0322 1 丁大清 217 0
200 0322 1 朱堂元 393 0
200 0322 2 魏佑吉 569 0
200 0322 3 龐彭醛 314 0
200 0323 1 高聖博 490 0
200 0323 1 陳寶珠 666 0
